classification,school,address,phone,website,cre-url,grade,type,programs,about-1,about-2,about-3,snippet_name,school_name,cre-url,cre_markup
public,Mount View School,"2004 4 St NE Calgary, AB T2E 3T8",403-777-6300,http://school.cbe.ab.ca/school/MountView/,,K to 6,Elementary,Regular,"<p>Located in the Winston Heights-Mount View community in northeast Calgary, the Mount View School opened its doors for the learners of the neighbourhood back in 1948. The school is situated right across from the famous Munro Park.</p>",,,public-mount-view-school,mount-view-school,/uploads/agent-1/optimized-images/school-logos/public/mount-view-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Mount View School</h3> <p>2004 4 St NE Calgary, AB T2E 3T8</p><p><strong>Phone Number:</strong> 403-777-6300</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/MountView/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/mount-view-school.webp' alt='Mount View School Logo' width='80' height='80' title='Visit Mount View School website.'> </a> <div> <p><strong>Grades:</strong> K to 6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Mount View School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Mount View School</h4><p>Located in the Winston Heights-Mount View community in northeast Calgary, the Mount View School opened its doors for the learners of the neighbourhood back in 1948. The school is situated right across from the famous Munro Park.</p></div></div>"
public,Louise Dean School,"120 23 St NW Calgary, AB T2N 2P1",403-777-7630,http://school.cbe.ab.ca/school/louisedean,, 9 to 12,Junior/Senior, Pregnant & Parenting Teens,<p>The Louise Deal School offers a specialized Grade 9 through Grade 12 learning program focused at the unique educational needs of pregnant and parenting teenagers. The school offers a caring and compassionate environment for the students to grow and flourish into confident adults.</p>,,,public-louise-dean-school,louise-dean-school,/uploads/agent-1/optimized-images/school-logos/public/louise-dean-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Louise Dean School</h3> <p>120 23 St NW Calgary, AB T2N 2P1</p><p><strong>Phone Number:</strong> 403-777-7630</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/louisedean' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/louise-dean-school.webp' alt='Louise Dean School Logo' width='80' height='80' title='Visit Louise Dean School website.'> </a> <div> <p><strong>Grades:</strong>  9 to 12</p><p><strong>Type:</strong> Junior/Senior</p><p><strong>Programs:</strong>  Pregnant & Parenting Teens</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Louise Dean School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Louise Dean School</h4><p>The Louise Deal School offers a specialized Grade 9 through Grade 12 learning program focused at the unique educational needs of pregnant and parenting teenagers. The school offers a caring and compassionate environment for the students to grow and flourish into confident adults.</p></div></div>"
public,Radisson Park School,"2805 Radcliffe Dr SE Calgary, AB T2A 0C8",403-777-8070,http://school.cbe.ab.ca/school/radissonpark,,K to 5, Elementary,Regular,"<p>Since Radisson School represents a multicultural community, this dynamic school offers an extensive range of programs and supports that deliver a flexible and inclusive learning environment. They inspire students to exploit their full potential by inculcating a love for learning.</p>",,,public-radisson-park-school,radisson-park-school,/uploads/agent-1/optimized-images/school-logos/public/radisson-park-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Radisson Park School</h3> <p>2805 Radcliffe Dr SE Calgary, AB T2A 0C8</p><p><strong>Phone Number:</strong> 403-777-8070</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/radissonpark' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/radisson-park-school.webp' alt='Radisson Park School Logo' width='80' height='80' title='Visit Radisson Park School website.'> </a> <div> <p><strong>Grades:</strong> K to 5</p><p><strong>Type:</strong>  Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Radisson Park School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Radisson Park School</h4><p>Since Radisson School represents a multicultural community, this dynamic school offers an extensive range of programs and supports that deliver a flexible and inclusive learning environment. They inspire students to exploit their full potential by inculcating a love for learning.</p></div></div>"
public,Sir Wilfrid Laurier School,"819 32 St SE Calgary, AB T2A 0Y9",403-777-7370,http://school.cbe.ab.ca/school/SirWilfridLaurier/,,6 to 9,Middle,Traditional Learning Centre (TLC),"<p>Serving the community of Albert Park and Radisson Heights, Sir Wilfrid Laurier School offers inclusive learning in a multicultural setting. While the school has established strong connections with students and the community, they offer dynamic complementary, interschool, intramural and physical education programs.</p>",,,public-sir-wilfrid-laurier-school,sir-wilfrid-laurier-school,/uploads/agent-1/optimized-images/school-logos/public/sir-wilfrid-laurier-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Sir Wilfrid Laurier School</h3> <p>819 32 St SE Calgary, AB T2A 0Y9</p><p><strong>Phone Number:</strong> 403-777-7370</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/SirWilfridLaurier/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/sir-wilfrid-laurier-school.webp' alt='Sir Wilfrid Laurier School Logo' width='80' height='80' title='Visit Sir Wilfrid Laurier School website.'> </a> <div> <p><strong>Grades:</strong> 6 to 9</p><p><strong>Type:</strong> Middle</p><p><strong>Programs:</strong> Traditional Learning Centre (TLC)</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Sir Wilfrid Laurier School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Sir Wilfrid Laurier School</h4><p>Serving the community of Albert Park and Radisson Heights, Sir Wilfrid Laurier School offers inclusive learning in a multicultural setting. While the school has established strong connections with students and the community, they offer dynamic complementary, interschool, intramural and physical education programs.</p></div></div>"
public,Ernest Morrow School,"1212 47 St SE Calgary, AB T2A 1R3",403-777-7800,http://school.cbe.ab.ca/school/ernestmorrow,,9-Jun,Middle,Regular,"<p>With a sound Middle School Philosophy that recognizes students are dealing with rapid change and need to explore their own identity, Ernest Morrow School provides its students with a comprehensive learning environment and their School Development Plan focuses on disciplinary literacy.</p>",,,public-ernest-morrow-school,ernest-morrow-school,/uploads/agent-1/optimized-images/school-logos/public/ernest-morrow-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Ernest Morrow School</h3> <p>1212 47 St SE Calgary, AB T2A 1R3</p><p><strong>Phone Number:</strong> 403-777-7800</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/ernestmorrow' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/ernest-morrow-school.webp' alt='Ernest Morrow School Logo' width='80' height='80' title='Visit Ernest Morrow School website.'> </a> <div> <p><strong>Grades:</strong> 44356</p><p><strong>Type:</strong> Middle</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Ernest Morrow School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Ernest Morrow School</h4><p>With a sound Middle School Philosophy that recognizes students are dealing with rapid change and need to explore their own identity, Ernest Morrow School provides its students with a comprehensive learning environment and their School Development Plan focuses on disciplinary literacy.</p></div></div>"
public,James Short Memorial School,"6333 5 Ave SE Calgary, AB T2A 3V7",403-777-8170,http://school.cbe.ab.ca/school/jamesshort/,,K-2,Elementary,Regular,,,,public-james-short-memorial-school,james-short-memorial-school,/uploads/agent-1/optimized-images/school-logos/public/james-short-memorial-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>James Short Memorial School</h3> <p>6333 5 Ave SE Calgary, AB T2A 3V7</p><p><strong>Phone Number:</strong> 403-777-8170</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/jamesshort/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/james-short-memorial-school.webp' alt='James Short Memorial School Logo' width='80' height='80' title='Visit James Short Memorial School website.'> </a> <div> <p><strong>Grades:</strong> K-2</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about James Short Memorial School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About James Short Memorial School</h4></div></div>"
public,G.W. Skene School,"6226 Penbrooke Dr SE Calgary, AB T2A 6M7",403-777-8150,http://school.cbe.ab.ca/school/GWSkene/,,5-Mar,Elementary,Regular,,,,public-gw-skene-school,gw-skene-school,/uploads/agent-1/optimized-images/school-logos/public/gw-skene-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>G.W. Skene School</h3> <p>6226 Penbrooke Dr SE Calgary, AB T2A 6M7</p><p><strong>Phone Number:</strong> 403-777-8150</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/GWSkene/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/gw-skene-school.webp' alt='G.W. Skene School Logo' width='80' height='80' title='Visit G.W. Skene School website.'> </a> <div> <p><strong>Grades:</strong> 3 - 5</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about G.W. Skene School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About G.W. Skene School</h4></div></div>"
public,Niitsitapi Learning Centre,"3743 Dover Ridge Dr SE Calgary, AB T2B 2E1",403-817-3404,http://school.cbe.ab.ca/school/Niitsitapi,,K to 2,Elementary,Aboriginal Focus,"<p>An Early Development Centre/ Preschool, Niitsitapi Learning Centre offers its students an Indigenous focus-learning program through a combination of First Nations, Métis and Inuit perspectives and experiences. Their focus is rooted in academic excellence, cultural awareness and fostering individual growth.</p>",,,public-niitsitapi-learning-centre,niitsitapi-learning-centre,/uploads/agent-1/optimized-images/school-logos/public/niitsitapi-learning-centre.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Niitsitapi Learning Centre</h3> <p>3743 Dover Ridge Dr SE Calgary, AB T2B 2E1</p><p><strong>Phone Number:</strong> 403-817-3404</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/Niitsitapi' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/niitsitapi-learning-centre.webp' alt='Niitsitapi Learning Centre Logo' width='80' height='80' title='Visit Niitsitapi Learning Centre website.'> </a> <div> <p><strong>Grades:</strong> K to 2</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Aboriginal Focus</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Niitsitapi Learning Centre' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Niitsitapi Learning Centre</h4><p>An Early Development Centre/ Preschool, Niitsitapi Learning Centre offers its students an Indigenous focus-learning program through a combination of First Nations, Métis and Inuit perspectives and experiences. Their focus is rooted in academic excellence, cultural awareness and fostering individual growth.</p></div></div>"
public,Valley View School,"4105 26 Ave SE Calgary, AB T2B 0C6",403-777-8250,https://cbe.ab.ca/valleyview/,, K to 5,Elementary,"Regular, Science","<p>Valley View School provides its students from the communities of Forest Lawn and Dover, with a dynamic learning experience. They support the Medicine Wheel Pre-School Program with a full day Medicine Wheel Kindergarten, besides two full-day Kindergarten programs and a science-learning program.</p>",,,public-valley-view-school,valley-view-school,/uploads/agent-1/optimized-images/school-logos/public/valley-view-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Valley View School</h3> <p>4105 26 Ave SE Calgary, AB T2B 0C6</p><p><strong>Phone Number:</strong> 403-777-8250</p></div><div class='cmty-school__info'> <a href='https://cbe.ab.ca/valleyview/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/valley-view-school.webp' alt='Valley View School Logo' width='80' height='80' title='Visit Valley View School website.'> </a> <div> <p><strong>Grades:</strong>  K to 5</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular, Science</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Valley View School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Valley View School</h4><p>Valley View School provides its students from the communities of Forest Lawn and Dover, with a dynamic learning experience. They support the Medicine Wheel Pre-School Program with a full day Medicine Wheel Kindergarten, besides two full-day Kindergarten programs and a science-learning program.</p></div></div>"
public,West Dover School,"3113 30 Ave SE Calgary, AB T2B 0G9",403-777-8260,http://school.cbe.ab.ca/school/westdover/,, K to 5,Elementary,Regular,"<p>Distinguished for its cultural diversity, West Dover School is an elementary school, that provides a safe, supportive learning environment with focus on an integrated learning experience including technology, literacy and art. Their robust extracurricular programs inculcate mutual respect and understanding.</p>",,,public-west-dover-school,west-dover-school,/uploads/agent-1/optimized-images/school-logos/public/west-dover-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>West Dover School</h3> <p>3113 30 Ave SE Calgary, AB T2B 0G9</p><p><strong>Phone Number:</strong> 403-777-8260</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/westdover/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/west-dover-school.webp' alt='West Dover School Logo' width='80' height='80' title='Visit West Dover School website.'> </a> <div> <p><strong>Grades:</strong>  K to 5</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about West Dover School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About West Dover School</h4><p>Distinguished for its cultural diversity, West Dover School is an elementary school, that provides a safe, supportive learning environment with focus on an integrated learning experience including technology, literacy and art. Their robust extracurricular programs inculcate mutual respect and understanding.</p></div></div>"
public,Ian Bazalgette School,"3909 26 Ave SE Calgary, AB T2B 0C6",403-777-7360,http://school.cbe.ab.ca/school/ianbazalgette/,,6 to 9,Middle,"Regular, Science","<p>Ian Bazalgette School is a culturally diverse establishment that supports English second language students and has two special education classes. The middle school offers regular and science curriculums to children from the communities of Valley View, Erin Woods, West Dover, and Southview.</p>",,,public-ian-bazalgette-school,ian-bazalgette-school,/uploads/agent-1/optimized-images/school-logos/public/ian-bazalgette-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Ian Bazalgette School</h3> <p>3909 26 Ave SE Calgary, AB T2B 0C6</p><p><strong>Phone Number:</strong> 403-777-7360</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/ianbazalgette/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/ian-bazalgette-school.webp' alt='Ian Bazalgette School Logo' width='80' height='80' title='Visit Ian Bazalgette School website.'> </a> <div> <p><strong>Grades:</strong> 6 to 9</p><p><strong>Type:</strong> Middle</p><p><strong>Programs:</strong> Regular, Science</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Ian Bazalgette School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Ian Bazalgette School</h4><p>Ian Bazalgette School is a culturally diverse establishment that supports English second language students and has two special education classes. The middle school offers regular and science curriculums to children from the communities of Valley View, Erin Woods, West Dover, and Southview.</p></div></div>"
public,Erin Woods School,"25 Erin Park Dr SE Calgary, AB T2B 2Z9",403-777-8140,http://school.cbe.ab.ca/school/ErinWoods,, K to 5,Elementary,Regular,"<p>With focus on fostering an excellent academic environment and creating global citizens, Erin Woods School nurtures its students through enhancing their engagement levels, encouraging creativity and problem-solving skills while inculcating respect for their fellow peers to build a sense of belonging.</p>",,,public-erin-woods-school,erin-woods-school,/uploads/agent-1/optimized-images/school-logos/public/erin-woods-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Erin Woods School</h3> <p>25 Erin Park Dr SE Calgary, AB T2B 2Z9</p><p><strong>Phone Number:</strong> 403-777-8140</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/ErinWoods' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/erin-woods-school.webp' alt='Erin Woods School Logo' width='80' height='80' title='Visit Erin Woods School website.'> </a> <div> <p><strong>Grades:</strong>  K to 5</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Erin Woods School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Erin Woods School</h4><p>With focus on fostering an excellent academic environment and creating global citizens, Erin Woods School nurtures its students through enhancing their engagement levels, encouraging creativity and problem-solving skills while inculcating respect for their fellow peers to build a sense of belonging.</p></div></div>"
public,Keeler School,"4807 Forego Ave SE Calgary, AB T2A 2C4",403-777-8180,http://school.cbe.ab.ca/school/Keeler/,, K to 5,Elementary,Regular,"<p>An exceptional elementary school, that partners with parents in the growth and development of students, Keeler School is committed to helping its students exploit their potential, achieve their goals, become lifelong learners and responsible citizens who contribute to society.</p>",,,public-keeler-school,keeler-school,/uploads/agent-1/optimized-images/school-logos/public/keeler-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Keeler School</h3> <p>4807 Forego Ave SE Calgary, AB T2A 2C4</p><p><strong>Phone Number:</strong> 403-777-8180</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/Keeler/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/keeler-school.webp' alt='Keeler School Logo' width='80' height='80' title='Visit Keeler School website.'> </a> <div> <p><strong>Grades:</strong>  K to 5</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Keeler School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Keeler School</h4><p>An exceptional elementary school, that partners with parents in the growth and development of students, Keeler School is committed to helping its students exploit their potential, achieve their goals, become lifelong learners and responsible citizens who contribute to society.</p></div></div>"
public,Jack James High School,"5105 8 Ave SE Calgary, AB T2A 4M1",403-248-4054,http://school.cbe.ab.ca/school/jackjames/,,10 to 12, Senior," Dual Credit, Off Campus Work Experience","<p>Established with the belief that all students, provided with a supportive learning environment will experience success as both learners and citizens, Jack James High School provides its students with unwavering support so that they can build a better tomorrow for themselves.</p>",,,public-jack-james-high-school,jack-james-high-school,/uploads/agent-1/optimized-images/school-logos/public/jack-james-high-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Jack James High School</h3> <p>5105 8 Ave SE Calgary, AB T2A 4M1</p><p><strong>Phone Number:</strong> 403-248-4054</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/jackjames/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/jack-james-high-school.webp' alt='Jack James High School Logo' width='80' height='80' title='Visit Jack James High School website.'> </a> <div> <p><strong>Grades:</strong> 10 to 12</p><p><strong>Type:</strong>  Senior</p><p><strong>Programs:</strong>  Dual Credit, Off Campus Work Experience</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Jack James High School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Jack James High School</h4><p>Established with the belief that all students, provided with a supportive learning environment will experience success as both learners and citizens, Jack James High School provides its students with unwavering support so that they can build a better tomorrow for themselves.</p></div></div>"
public,Patrick Airlie School,"1520 39 St SE Calgary, AB T2A 1H9",403-777-8220,http://school.cbe.ab.ca/school/PatrickAirlie,,K to 5,Elementary,Regular,"<p>Established in 1957, Patrick Airlie School is the feeder to school to Ernest Morrow School for Grades 7 to 9. Spread across 10 classrooms students benefit from a robust support infrastructure such as a computer lab, library and gymnasium.</p>",,,public-patrick-airlie-school,patrick-airlie-school,/uploads/agent-1/optimized-images/school-logos/public/patrick-airlie-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Patrick Airlie School</h3> <p>1520 39 St SE Calgary, AB T2A 1H9</p><p><strong>Phone Number:</strong> 403-777-8220</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/PatrickAirlie' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/patrick-airlie-school.webp' alt='Patrick Airlie School Logo' width='80' height='80' title='Visit Patrick Airlie School website.'> </a> <div> <p><strong>Grades:</strong> K to 5</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Patrick Airlie School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Patrick Airlie School</h4><p>Established in 1957, Patrick Airlie School is the feeder to school to Ernest Morrow School for Grades 7 to 9. Spread across 10 classrooms students benefit from a robust support infrastructure such as a computer lab, library and gymnasium.</p></div></div>"
public,Penbrooke Meadows School,"5645 Pensacola Cres SE Calgary, AB T2A 2G4",403-777-8230,http://school.cbe.ab.ca/school/penbrookemeadows,,K to 5,Elementary,Regular,"<p>The Penbrooke Meadows School serves a highly heterogenous, diverse and mobile multicultural community where nearly 54% of the students are English as Second Language learners, and 9.5% of the students identify themselves as Inuit, Metis or First Nations.</p>",,,public-penbrooke-meadows-school,penbrooke-meadows-school,/uploads/agent-1/optimized-images/school-logos/public/penbrooke-meadows-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Penbrooke Meadows School</h3> <p>5645 Pensacola Cres SE Calgary, AB T2A 2G4</p><p><strong>Phone Number:</strong> 403-777-8230</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/penbrookemeadows' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/penbrooke-meadows-school.webp' alt='Penbrooke Meadows School Logo' width='80' height='80' title='Visit Penbrooke Meadows School website.'> </a> <div> <p><strong>Grades:</strong> K to 5</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Penbrooke Meadows School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Penbrooke Meadows School</h4><p>The Penbrooke Meadows School serves a highly heterogenous, diverse and mobile multicultural community where nearly 54% of the students are English as Second Language learners, and 9.5% of the students identify themselves as Inuit, Metis or First Nations.</p></div></div>"
public,Banting and Best School,"1819 66 Ave SE Calgary, AB T2C 2K5",403-777-8650,http://school.cbe.ab.ca/school/bantingandbest,,K to 3,Elementary,Regular,"<p>At Banting and Best School, all the faculty members strive to provide a stimulating learning environment for the students residing in its community.</p>",,,public-banting-and-best-school,banting-and-best-school,/uploads/agent-1/optimized-images/school-logos/public/banting-and-best-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Banting and Best School</h3> <p>1819 66 Ave SE Calgary, AB T2C 2K5</p><p><strong>Phone Number:</strong> 403-777-8650</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/bantingandbest' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/banting-and-best-school.webp' alt='Banting and Best School Logo' width='80' height='80' title='Visit Banting and Best School website.'> </a> <div> <p><strong>Grades:</strong> K to 3</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Banting and Best School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Banting and Best School</h4><p>At Banting and Best School, all the faculty members strive to provide a stimulating learning environment for the students residing in its community.</p></div></div>"
public,Sherwood School,"2011 66 Ave SE Calgary, AB T2C 1J4", 403-777-7590,http://school.cbe.ab.ca/school/Sherwood/,, 4 to 9,Middle,Regular,"<p>Built in 1956, the Sherwood School offers unique 21st century education for students in Grades 4 to 9 across the communities of Riverbend, Millican, Ogden and Lynnwood.</p>",,,public-sherwood-school,sherwood-school,/uploads/agent-1/optimized-images/school-logos/public/sherwood-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Sherwood School</h3> <p>2011 66 Ave SE Calgary, AB T2C 1J4</p><p><strong>Phone Number:</strong>  403-777-7590</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/Sherwood/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/sherwood-school.webp' alt='Sherwood School Logo' width='80' height='80' title='Visit Sherwood School website.'> </a> <div> <p><strong>Grades:</strong>  4 to 9</p><p><strong>Type:</strong> Middle</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Sherwood School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Sherwood School</h4><p>Built in 1956, the Sherwood School offers unique 21st century education for students in Grades 4 to 9 across the communities of Riverbend, Millican, Ogden and Lynnwood.</p></div></div>"
public,Riverbend School,"65 Rivervalley Dr SE Calgary, AB T2C 3Z7",<403-777-6510,http://school.cbe.ab.ca/school/Riverbend/,,K to 6,Elementary,Regular,"<p>Located right in the heart of the Riverbend community, the Riverbend School can be conveniently accessed from most parts of the city of Calgary. Given that the school has a very low mobility rate, the learning environment here is very stable.</p>",,,public-riverbend-school,riverbend-school,/uploads/agent-1/optimized-images/school-logos/public/riverbend-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Riverbend School</h3> <p>65 Rivervalley Dr SE Calgary, AB T2C 3Z7</p><p><strong>Phone Number:</strong> <403-777-6510</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/Riverbend/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/riverbend-school.webp' alt='Riverbend School Logo' width='80' height='80' title='Visit Riverbend School website.'> </a> <div> <p><strong>Grades:</strong> K to 6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Riverbend School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Riverbend School</h4><p>Located right in the heart of the Riverbend community, the Riverbend School can be conveniently accessed from most parts of the city of Calgary. Given that the school has a very low mobility rate, the learning environment here is very stable.</p></div></div>"
